ITEM|LOC|PRODUCTIONMETHOD|DESCR|BOMNUM|EFF|DISC|LEADTIME|LEADTIMEEFFCNYCAL|NONEWSUPPLYDATE|PRIORITY|INCQTY|SPLITFACTOR|U_PLANMODULE
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-4_IFS|2000-314-191_1006_480_INTEL FOV-4_IFS|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-5_COMMON|2000-314-191_1006_480_INTEL FOV-5_COMMON|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-5_IFS|2000-314-191_1006_480_INTEL FOV-5_IFS|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-6_COMMON|2000-314-191_1006_480_INTEL FOV-6_COMMON|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-6_IFS|2000-314-191_1006_480_INTEL FOV-6_IFS|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-7_COMMON|2000-314-191_1006_480_INTEL FOV-7_COMMON|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-7_IFS|2000-314-191_1006_480_INTEL FOV-7_IFS|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000008|1003|100000000008_1003_9002_PV2|100000000008_1003_9002_PV2|9002|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000008|1006|100000000008_1006_9001_PV2|100000000008_1006_9001_PV2|9001|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
N44236-002|VF_S|N44236-002_VF_S_9003|N44236-002_VF_S_9003|9003|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
