CUST|EXTREF|ORDERID|ITEM|LOC|QTY|U_ORDER_TYPE|U_CREATION_DT|U_RGID_DT|U_CGID_DT|MAXLATEDUR|U_COMMITTED_CO_FLAG|U_ENGINEERING|U_SHUTTLE|U_SAMPLE|U_NPI|U_EXPEDITE|U_DPAS|U_SPECIAL|U_BACKLOG|LINEITEMEXTREF|FCSTSW|STATUS|OP_CONSUMEEARLY|U_PLANMODULE|DELRDD_CALC_DT|GI_DT
6200000072|1030001303|1030001303_10_0001|100000000112|1006|30|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001304|1030001304_10_0001|100000000112|1006|20|ZOR|16-08-2025|16-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001305|1030001305_10_0001|100000000112|1006|30|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001306|1030001306_10_0001|100000000112|1006|25|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001307|1030001307_10_0001|100000000112|1006|25|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001308|1030001308_10_0001|100000000112|1006|75|ZOR|24-07-2025|24-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001309|1030001309_10_0001|100000000112|1006|25|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001310|1030001310_10_0001|100000000112|1006|50|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001311|1030001311_10_0001|100000000112|1006|10|ZOR|30-08-2025|30-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001312|1030001312_10_0001|100000000112|1006|25|ZOR|27-06-2025|24-09-2025||120960|0|0|0|0|0|0|0|0|0|10|1|1|86|BY_IF||
6200000072|1030001313|1030001313_10_0001|100000000112|1006|25|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001314|1030001314_10_0001|100000000112|1006|20|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001315|1030001315_10_0001|100000000112|1006|45|ZOR|17-08-2025|17-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001316|1030001316_10_0001|100000000112|1006|70|ZOR|18-08-2025|18-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001317|1030001317_10_0001|100000000112|1006|70|ZOR|14-08-2025|14-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001318|1030001318_10_0001|100000000112|1006|25|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001319|1030001319_10_0001|100000000112|1006|50|ZOR|18-08-2025|18-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001320|1030001320_10_0001|100000000112|1006|20|ZOR|22-07-2025|22-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001321|1030001321_10_0001|100000000112|1006|25|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001322|1030001322_10_0001|100000000112|1003|45|ZOR|13-08-2025|13-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001323|1030001323_10_0001|100000000112|1003|25|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001324|1030001324_10_0001|100000000112|1003|12|ZOR|09-08-2025|09-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
