RES|LOC|DESCR|TYPE|CAL|CHECKMAXCAP|STAGE|RELEASEFENCEDUR|PEGGINGSW|U_RESTYPE|U_HIERCOL_1|U_HIERCOL_2|U_PLANMODULE
RES_INTEL EMIB1.0-3_COMMON_F21|1006|RES_INTEL EMIB1.0-3_COMMON_F21|4|R_CAL_RES_INTEL EMIB1.0-3_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL EMIB1.0-3|CG-EMIB|BY_IF
RES_INTEL FOV-6_IFS_F21|1006|RES_INTEL FOV-6_IFS_F21|4|R_CAL_RES_INTEL FOV-6_IFS_F21|1|FAB|0|1|IFS PARTITION|INTEL FOV-6|CG-1227|BY_IF
RES_CG-EMIB_F21|1006|RES_CG-EMIB_F21|4|R_CAL_RES_CG-EMIB_F21|1|FAB|0|1|CAPACITY GROUP||CG-EMIB|BY_IF
RES_FLATTOP MOUNTAIN-TSD-4_8LF4CVA_F21|1006|RES_FLATTOP MOUNTAIN-TSD-4_8LF4CVA_F21|4|R_CAL_RES_FLATTOP MOUNTAIN-TSD-4_8LF4CVA_F21|4|FAB|0|1|RETICLES|C4 ONLY|CG-1224|BY_IF
RES_INTEL FOV-4_IFS_F21|1006|RES_INTEL FOV-4_IFS_F21|4|R_CAL_RES_INTEL FOV-4_IFS_F21|1|FAB|0|1|IFS PARTITION|INTEL FOV-4|CG-1227|BY_IF
RES_INTEL FOV-5_IFS_F21|1006|RES_INTEL FOV-5_IFS_F21|4|R_CAL_RES_INTEL FOV-5_IFS_F21|1|FAB|0|1|IFS PARTITION|INTEL FOV-5|CG-1227|BY_IF
RES_C4 ONLY_COMMON_F21|1006|RES_C4 ONLY_COMMON_F21|4|R_CAL_RES_C4 ONLY_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|C4 ONLY|CG-1224|BY_IF
RES_INTEL EMIB2.0-1_COMMON_F21|1006|RES_INTEL EMIB2.0-1_COMMON_F21|4|R_CAL_RES_INTEL EMIB2.0-1_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL EMIB2.0-1|CG-EMIB|BY_IF
RES_METEOR LAKE-BASE-P682_8POACVBA_F21|1006|RES_METEOR LAKE-BASE-P682_8POACVBA_F21|4|R_CAL_RES_METEOR LAKE-BASE-P682_8POACVBA_F21|4|FAB|564480|1|RETICLES|INTEL FOV-1|CG-1227|BY_IF
RES_CAYMAN POINT-BASE_8FCMCVB_F21|1006|RES_CAYMAN POINT-BASE_8FCMCVB_F21|4|R_CAL_RES_CAYMAN POINT-BASE_8FCMCVB_F21|4|FAB|564480|1|RETICLES|INTEL FOV-1|CG-1227|BY_IF
RES_INTEL FOV-7_COMMON_F21|1006|RES_INTEL FOV-7_COMMON_F21|4|R_CAL_RES_INTEL FOV-7_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL FOV-7|CG-1227|BY_IF
RES_INTEL FOV-5_COMMON_F21|1006|RES_INTEL FOV-5_COMMON_F21|4|R_CAL_RES_INTEL FOV-5_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL FOV-5|CG-1227|BY_IF
RES_INTEL FOV-7_IFS_F21|1006|RES_INTEL FOV-7_IFS_F21|4|R_CAL_RES_INTEL FOV-7_IFS_F21|1|FAB|0|1|IFS PARTITION|INTEL FOV-7|CG-1227|BY_IF
RES_INTEL FOV-2_COMMON_F21|1006|RES_INTEL FOV-2_COMMON_F21|4|R_CAL_RES_INTEL FOV-2_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL FOV-2|CG-1227|BY_IF
RES_C4 ONLY_COMMON_D1D|1006|RES_C4 ONLY_COMMON_D1D|4|R_CAL_RES_C4 ONLY_COMMON_D1D|1|FAB|0|1|COMMON CAPACITY PARTITION|C4 ONLY|CG-1224|BY_IF
RES_LAVA BRIDGE-12_8PJ2CVA_F21|1006|RES_LAVA BRIDGE-12_8PJ2CVA_F21|4|R_CAL_RES_LAVA BRIDGE-12_8PJ2CVA_F21|4|FAB|564480|1|RETICLES|INTEL EMIB2.0-1|CG-EMIB|BY_IF
RES_INTEL EMIB1.0-1_COMMON_F21|1006|RES_INTEL EMIB1.0-1_COMMON_F21|4|R_CAL_RES_INTEL EMIB1.0-1_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL EMIB1.0-1|CG-EMIB|BY_IF
RES_INTEL EMIB1.0-4_COMMON_F21|1006|RES_INTEL EMIB1.0-4_COMMON_F21|4|R_CAL_RES_INTEL EMIB1.0-4_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL EMIB1.0-4|CG-EMIB|BY_IF
RES_LUNAR LAKE-BASE-M442_8PURCVA_F21|1006|RES_LUNAR LAKE-BASE-M442_8PURCVA_F21|4|R_CAL_RES_LUNAR LAKE-BASE-M442_8PURCVA_F21|4|FAB|564480|1|RETICLES|INTEL FOV-1|CG-1227|BY_IF
RES_FLATTOP MOUNTAIN-TSD-4_8LF4CVA_D1D|1006|RES_FLATTOP MOUNTAIN-TSD-4_8LF4CVA_D1D|4|R_CAL_RES_FLATTOP MOUNTAIN-TSD-4_8LF4CVA_D1D|4|FAB|0|1|RETICLES|C4 ONLY|CG-1224|BY_IF
RES_CG-1224_D1D|1006|RES_CG-1224_D1D|4|R_CAL_RES_CG-1224_D1D|1|FAB|0|1|CAPACITY GROUP||CG-1224|BY_IF
RES_INTEL FOV-1_COMMON_F21|1006|RES_INTEL FOV-1_COMMON_F21|4|R_CAL_RES_INTEL FOV-1_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL FOV-1|CG-1227|BY_IF
RES_INTEL EMIB1.0-2_COMMON_F21|1006|RES_INTEL EMIB1.0-2_COMMON_F21|4|R_CAL_RES_INTEL EMIB1.0-2_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL EMIB1.0-2|CG-EMIB|BY_IF
RES_CG-1227_F21|1006|RES_CG-1227_F21|4|R_CAL_RES_CG-1227_F21|1|FAB|0|1|CAPACITY GROUP||CG-1227|BY_IF
RES_INTEL FOV-2_IFS_F21|1006|RES_INTEL FOV-2_IFS_F21|4|R_CAL_RES_INTEL FOV-2_IFS_F21|1|FAB|0|1|IFS PARTITION|INTEL FOV-2|CG-1227|BY_IF
RES_INTEL FOV-4_COMMON_F21|1006|RES_INTEL FOV-4_COMMON_F21|4|R_CAL_RES_INTEL FOV-4_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL FOV-4|CG-1227|BY_IF
RES_INTEL FOV-6_COMMON_F21|1006|RES_INTEL FOV-6_COMMON_F21|4|R_CAL_RES_INTEL FOV-6_COMMON_F21|1|FAB|0|1|COMMON CAPACITY PARTITION|INTEL FOV-6|CG-1227|BY_IF
ACWaa_1006|1006|ACWaa_1006|4|R_CAL_ACWaa_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
N3Ech_1006|1006|N3Ech_1006|4|R_CAL_N3Ech_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
PLHcb_1006|1006|PLHcb_1006|4|R_CAL_PLHcb_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
CEVci_1006|1006|CEVci_1006|4|R_CAL_CEVci_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
EXDba_1006|1006|EXDba_1006|4|R_CAL_EXDba_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
DCOe_1006|1006|DCOe_1006|4|R_CAL_DCOe_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
USPa_1006|1006|USPa_1006|4|R_CAL_USPa_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
HDSih_1006|1006|HDSih_1006|4|R_CAL_HDSih_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
HDSia_1006|1006|HDSia_1006|4|R_CAL_HDSia_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
WTTaa_1006|1006|WTTaa_1006|4|R_CAL_WTTaa_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
HWTbb_1006|1006|HWTbb_1006|4|R_CAL_HWTbb_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
TTTa1_1006|1006|TTTa1_1006|4|R_CAL_TTTa1_1006|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
ACWaa_1003|1003|ACWaa_1003|4|R_CAL_ACWaa_1003|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
N3Ech_1003|1003|N3Ech_1003|4|R_CAL_N3Ech_1003|4|WLA|0|1|WLA_SUBSTAGE_CAPACITY|||BY_IF
