ITEM|SUBORD|LOC|BOMNUM|OFFSET|EFF|DISC|DRAWQTY|YIELDCAL|YIELDFACTOR|U_INTEL_BOMID|U_PLANMODULE
100000002012|2000-293-724|1017|446|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000002012_1017|100||BY_IF
2000-293-724|100000002004|1003|396|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-724_1003|100||BY_IF
2000-293-724|100000002003|1003|396|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-724_1003|100||BY_IF
2000-293-724|100000002005|1003|396|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-724_1003|100||BY_IF
2000-293-724|100000002013|1003|396|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-724_1003|100||BY_IF
2000-293-724|100000002005|1017|397|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-724_1017|100||BY_IF
2000-293-724|100000002004|1017|397|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-724_1017|100||BY_IF
2000-293-724|100000002003|1017|397|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-724_1017|100||BY_IF
2000-293-724|100000002013|1017|397|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-724_1017|100||BY_IF
2000-293-719|100000002003|1017|398|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-719_1017|100||BY_IF
2000-293-719|100000002004|1017|398|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-719_1017|100||BY_IF
2000-293-719|100000002006|1017|398|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-719_1017|100||BY_IF
2000-293-719|100000002013|1017|398|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-719_1017|100||BY_IF
2000-293-719|100000002003|1003|399|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-719_1003|100||BY_IF
2000-293-719|100000002006|1003|399|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-719_1003|100||BY_IF
2000-293-719|100000002004|1003|399|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-719_1003|100||BY_IF
2000-293-719|100000002013|1003|399|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-719_1003|100||BY_IF
100000002013|100000002008|1006|447|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000002013_1006|100||BY_IF
100000002014|2000-285-678|1006|448|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000002014_1006|100||BY_IF
100000002014|2000-285-678|1020|449|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000002014_1020|100||BY_IF
