ITEM|LOC|PRODUCTIONMETHOD|STEPNUM|EFF|RES|PRODRATE|PRODRATECAL|PRODDUR|NEXTSTEPTIMING|U_PLANMODULE
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-6_COMMON|1|01-01-1970|RES_INTEL FOV-6_COMMON_F21|1.0|IF_PR_437_INTEL FOV-6|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-6_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_437_INTEL FOV-6|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-6_COMMON|3|01-01-1970|RES_LUNAR LAKE-BASE-M442_8PURCVA_F21|1.0||1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-7_COMMON|1|01-01-1970|RES_INTEL FOV-7_COMMON_F21|1.0|IF_PR_437_INTEL FOV-7|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-7_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_437_INTEL FOV-7|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-7_COMMON|3|01-01-1970|RES_LUNAR LAKE-BASE-M442_8PURCVA_F21|1.0||1440|3|BY_IF
2000-285-677|1006|2000-285-677_1006_434_C4 ONLY_COMMON|1|01-01-1970|RES_C4 ONLY_COMMON_F21|1.0|IF_PR_434_C4 ONLY|0|3|BY_IF
2000-285-677|1006|2000-285-677_1006_434_C4 ONLY_COMMON|2|01-01-1970|RES_CG-1224_F21|1.0|IF_PR_434_C4 ONLY|0|3|BY_IF
2000-285-677|1006|2000-285-677_1006_434_C4 ONLY_COMMON|3|01-01-1970|RES_FLATTOP MOUNTAIN-TSD-4_8LF4CVA_F21|1.0||0|3|BY_IF
2000-285-677|1003|2000-285-677_1003_435_C4 ONLY_COMMON|1|01-01-1970|RES_C4 ONLY_COMMON_D1D|1.0|IF_PR_435_C4 ONLY|0|3|BY_IF
2000-285-677|1003|2000-285-677_1003_435_C4 ONLY_COMMON|2|01-01-1970|RES_CG-1224_D1D|1.0|IF_PR_435_C4 ONLY|0|3|BY_IF
2000-285-677|1003|2000-285-677_1003_435_C4 ONLY_COMMON|3|01-01-1970|RES_FLATTOP MOUNTAIN-TSD-4_8LF4CVA_D1D|1.0||0|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-1_COMMON|1|01-01-1970|RES_INTEL EMIB1.0-1_COMMON_F21|1.0|IF_PR_481_INTEL EMIB1.0-1|1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-1_COMMON|2|01-01-1970|RES_CG-EMIB_F21|1.0|IF_PR_481_INTEL EMIB1.0-1|1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-1_COMMON|3|01-01-1970|RES_LAVA BRIDGE-12_8PJ2CVA_F21|1.0||1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-2_COMMON|1|01-01-1970|RES_INTEL EMIB1.0-2_COMMON_F21|1.0|IF_PR_481_INTEL EMIB1.0-2|1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-2_COMMON|2|01-01-1970|RES_CG-EMIB_F21|1.0|IF_PR_481_INTEL EMIB1.0-2|1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-2_COMMON|3|01-01-1970|RES_LAVA BRIDGE-12_8PJ2CVA_F21|1.0||1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-3_COMMON|1|01-01-1970|RES_INTEL EMIB1.0-3_COMMON_F21|1.0|IF_PR_481_INTEL EMIB1.0-3|1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-3_COMMON|2|01-01-1970|RES_CG-EMIB_F21|1.0|IF_PR_481_INTEL EMIB1.0-3|1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-3_COMMON|3|01-01-1970|RES_LAVA BRIDGE-12_8PJ2CVA_F21|1.0||1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-4_COMMON|1|01-01-1970|RES_INTEL EMIB1.0-4_COMMON_F21|1.0|IF_PR_481_INTEL EMIB1.0-4|1440|3|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-4_COMMON|2|01-01-1970|RES_CG-EMIB_F21|1.0|IF_PR_481_INTEL EMIB1.0-4|1440|3|BY_IF
