ITEM|LOC|SEQNUM|SCHEDDATE|STARTDATE|QTY|PRODUCTIONMETHOD|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
2000-293-667|1006|6702|04-OCT-2026|03-OCT-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6701|27-SEP-2026|26-SEP-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6700|20-SEP-2026|19-SEP-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6699|13-SEP-2026|12-SEP-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6698|06-SEP-2026|05-SEP-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6697|30-AUG-2026|29-AUG-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6696|23-AUG-2026|22-AUG-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6695|16-AUG-2026|15-AUG-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6694|09-AUG-2026|08-AUG-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6693|02-AUG-2026|01-AUG-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
